,Id,tm_Id,Name,Team,Nationality,Date of Birth,Height,Strong Foot,Position,Joined,Contract Expires,Followers
215099,91,215099,Daley Sinkgraven,Bayer 04 Leverkusen,Netherlands,"Jul 4, 1995","1,79 m",left,Defender - Left-Back,"Jul 1, 2019",30.06.2023,121135
119211,92,119211,Mitchell Weiser,Bayer 04 Leverkusen,Germany,"Apr 21, 1994","1,77 m",right,Defender - Right-Back,"Jul 1, 2018",30.06.2023,213520
30059,93,30059,Lars Bender,Bayer 04 Leverkusen,Germany,"Apr 27, 1989","1,85 m",right,Defender - Right-Back,"Aug 18, 2009",30.06.2021,no info
34787,94,34787,Julian Baumgartlinger,Bayer 04 Leverkusen,Austria,"Jan 2, 1988","1,84 m",right,Midfielder - Defensive Midfield,"Jul 1, 2016",30.06.2021,no info
389078,95,389078,Adrian Stanilewicz,Bayer 04 Leverkusen,Poland Germany,"Feb 22, 2000","1,81 m",no_info,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2020,no info
125858,96,125858,Kerem Demirbay,Bayer 04 Leverkusen,Germany Turkey,"Jul 3, 1993","1,82 m",left,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2024,no info
401578,97,401578,Exequiel Palacios,Bayer 04 Leverkusen,Argentina,"Oct 5, 1998","1,77 m",right,Midfielder - Central Midfield,"Jan 1, 2020",30.06.2025,no info
89701,98,89701,Charles Aránguiz,Bayer 04 Leverkusen,Chile,"Apr 17, 1989","1,71 m",right,Midfielder - Central Midfield,"Aug 13, 2015",30.06.2020,625998
309400,99,309400,Kai Havertz,Bayer 04 Leverkusen,Germany,"Jun 11, 1999","1,89 m",left,Midfielder - Attacking Midfield,"Jul 1, 2016",30.06.2022,626992
232454,100,232454,Nadiem Amiri,Bayer 04 Leverkusen,Germany Afghanistan,"Oct 27, 1996","1,80 m",right,Midfielder - Attacking Midfield,"Jul 30, 2019",30.06.2024,94382
387626,101,387626,Leon Bailey,Bayer 04 Leverkusen,Jamaica,"Aug 9, 1997","1,78 m",left,Forward - Left Winger,"Jan 31, 2017",30.06.2023,483133
395516,102,395516,Moussa Diaby,Bayer 04 Leverkusen,France Mali,"Jul 7, 1999","1,70 m",left,Forward - Left Winger,"Jul 1, 2019",30.06.2024,205991
428791,103,428791,Paulinho,Bayer 04 Leverkusen,Brazil,"Jul 15, 2000","1,77 m",right,Forward - Left Winger,"Jul 15, 2018",30.06.2023,476472
61087,104,61087,Karim Bellarabi,Bayer 04 Leverkusen,Germany Morocco,"Apr 8, 1990","1,84 m",right,Forward - Right Winger,"Jul 1, 2011",30.06.2021,367397
82009,105,82009,Kevin Volland,Bayer 04 Leverkusen,Germany,"Jul 30, 1992","1,79 m",left,Forward - Centre-Forward,"Jul 1, 2016",30.06.2021,176120
193782,106,193782,Lucas Alario,Bayer 04 Leverkusen,Argentina Italy,"Oct 8, 1992","1,84 m",right,Forward - Centre-Forward,"Aug 31, 2017",30.06.2022,846272
42205,107,42205,Yann Sommer,Borussia Mönchengladbach,Switzerland,"Dec 17, 1988","1,83 m",right,Goalkeeper,"Jul 1, 2014",30.06.2023,280478
31653,108,31653,Tobias Sippel,Borussia Mönchengladbach,Germany,"Mar 22, 1988","1,80 m",right,Goalkeeper,"Jul 1, 2015",30.06.2021,41008
32779,109,32779,Max Grün,Albania U18,Germany,"Apr 5, 1987","1,90 m",right,Goalkeeper,-,30.06.2020,no info
124502,110,124502,Matthias Ginter,Borussia Mönchengladbach,Germany,"Jan 19, 1994","1,91 m",right,Defender - Centre-Back,"Jul 4, 2017",30.06.2021,320475
192635,111,192635,Nico Elvedi,Borussia Mönchengladbach,Switzerland,"Sep 30, 1996","1,89 m",right,Defender - Centre-Back,"Jul 1, 2015",30.06.2021,55325
47587,112,47587,Tony Jantschke,Borussia Mönchengladbach,Germany,"Apr 7, 1990","1,77 m",right,Defender - Centre-Back,"Jul 1, 2009",30.06.2021,22500
340480,113,340480,Mamadou Doucouré,Borussia Mönchengladbach,France Senegal,"May 21, 1998","1,84 m",left,Defender - Centre-Back,"Jul 1, 2016",-,no info
284732,114,284732,Ramy Bensebaini,Borussia Mönchengladbach,Algeria,"Apr 16, 1995","1,86 m",left,Defender - Left-Back,"Aug 14, 2019",30.06.2023,1626786
19305,115,19305,Oscar Wendt,Borussia Mönchengladbach,Sweden,"Oct 24, 1985","1,81 m",left,Defender - Left-Back,"Jul 1, 2011",30.06.2020,62589
85791,116,85791,Stefan Lainer,Borussia Mönchengladbach,Austria,"Aug 27, 1992","1,75 m",right,Defender - Right-Back,"Jul 1, 2019",30.06.2024,no info
334526,117,334526,Denis Zakaria,Borussia Mönchengladbach,Switzerland DR Congo,"Nov 20, 1996","1,91 m",right,Midfielder - Defensive Midfield,"Jul 1, 2017",30.06.2022,61625
82097,118,82097,Christoph Kramer,Borussia Mönchengladbach,Germany,"Feb 19, 1991","1,91 m",right,Midfielder - Defensive Midfield,"Jul 1, 2016",30.06.2023,214711
57845,119,57845,Tobias Strobl,Borussia Mönchengladbach,Germany,"May 12, 1990","1,88 m",right,Midfielder - Defensive Midfield,"Jul 1, 2016",30.06.2020,19184
278332,120,278332,Florian Neuhaus,Borussia Mönchengladbach,Germany,"Mar 16, 1997","1,84 m",right,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2024,41826
243188,121,243188,Lászlo Bénes,Borussia Mönchengladbach,Slovakia,"Sep 9, 1997","1,81 m",left,Midfielder - Central Midfield,"Jul 1, 2016",30.06.2024,no info
7161,122,7161,Jonas Hofmann,Borussia Mönchengladbach,Germany,"Jul 14, 1992","1,76 m",right,Midfielder - Central Midfield,"Jan 1, 2016",30.06.2023,94735
368860,123,368860,Torben Müsel,Borussia Mönchengladbach,Germany,"Jul 25, 1999","1,85 m",right,Midfielder - Attacking Midfield,"Jul 1, 2018",30.06.2020,no info
31041,124,31041,Fabian Johnson,Borussia Mönchengladbach,United States Germany,"Dec 11, 1987","1,83 m",right,Forward - Left Winger,"Jul 1, 2014",30.06.2020,22706
321096,125,321096,Keanan Bennetts,Borussia Mönchengladbach,England Germany,"Mar 9, 1999","1,83 m",left,Forward - Left Winger,"Jul 1, 2018",30.06.2022,17145
32711,126,32711,Patrick Herrmann,Borussia Mönchengladbach,Germany,"Feb 12, 1991","1,79 m",right,Forward - Right Winger,"Jan 1, 2010",30.06.2022,90317
47285,127,47285,Ibrahima Traoré,Borussia Mönchengladbach,Guinea France,"Apr 21, 1988","1,72 m",left,Forward - Right Winger,"Jul 1, 2014",30.06.2021,no info
48298,128,48298,Lars Stindl,Borussia Mönchengladbach,Germany,"Aug 26, 1988","1,80 m",right,Forward - Second Striker,"Jul 1, 2015",30.06.2021,no info
19819,129,19819,Raffael,Borussia Mönchengladbach,Brazil,"Mar 28, 1985","1,74 m",right,Forward - Second Striker,"Jul 1, 2013",30.06.2020,109953
167329,130,167329,Alassane Plea,Borussia Mönchengladbach,France Mali,"Mar 10, 1993","1,81 m",right,Forward - Centre-Forward,"Jul 13, 2018",30.06.2023,no info
318528,131,318528,Marcus Thuram,Borussia Mönchengladbach,France Guadeloupe,"Aug 6, 1997","1,92 m",right,Forward - Centre-Forward,"Jul 22, 2019",30.06.2023,107836
237662,132,237662,Breel Embolo,Borussia Mönchengladbach,Switzerland Cameroon,"Feb 14, 1997","1,87 m",right,Forward - Centre-Forward,"Jul 1, 2019",30.06.2023,209101
195778,133,195778,Alexander Nübel,FC Schalke 04,Germany,"Sep 30, 1996","1,93 m",right,Goalkeeper,"Aug 27, 2015",30.06.2020,76784
296741,134,296741,Markus Schubert,FC Schalke 04,Germany,"Jun 12, 1998","1,87 m",right,Goalkeeper,"Jul 5, 2019",30.06.2023,no info
19114,135,19114,Michael Langer,FC Schalke 04,Austria,"Jan 6, 1985","1,95 m",right,Goalkeeper,"Aug 4, 2017",30.06.2021,no info
361260,136,361260,Ozan Kabak,FC Schalke 04,Turkey,"Mar 25, 2000","1,86 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2024,481504
143559,137,143559,Matija Nastasic,FC Schalke 04,Serbia,"Mar 28, 1993","1,88 m",left,Defender - Centre-Back,"Jul 1, 2015",30.06.2022,66009
127160,138,127160,Benjamin Stambouli,FC Schalke 04,France Algeria,"Aug 13, 1990","1,80 m",right,Defender - Centre-Back,"Aug 26, 2016",30.06.2020,135306
126534,139,126534,Salif Sané,FC Schalke 04,Senegal France,"Aug 25, 1990","1,96 m",right,Defender - Centre-Back,"Jul 1, 2018",30.06.2022,122494
605184,140,605184,Jean-Clair Todibo,FC Schalke 04,France French Guiana,"Dec 30, 1999","1,89 m",right,Defender - Centre-Back,"Jan 15, 2020",30.06.2020,695622
282349,141,282349,Timo Becker,FC Schalke 04 II,Germany,"Mar 25, 1997","1,90 m",right,Defender - Centre-Back,"Aug 7, 2019",30.06.2020,no info
341227,142,341227,Juan Miranda,FC Schalke 04,Spain,"Jan 19, 2000","1,85 m",left,Defender - Left-Back,"Aug 30, 2019",30.06.2021,111051
53437,143,53437,Bastian Oczipka,FC Schalke 04,Germany,"Jan 12, 1989","1,85 m",left,Defender - Left-Back,"Jul 15, 2017",30.06.2023,49374
258883,144,258883,Jonjoe Kenny,FC Schalke 04,England,"Mar 15, 1997 Happy Birthday","1,76 m",right,Defender - Right-Back,"Jul 1, 2019",30.06.2020,71055
142031,145,142031,Omar Mascarell,FC Schalke 04,Spain,"Feb 2, 1993","1,81 m",right,Midfielder - Defensive Midfield,"Jul 2, 2018",30.06.2022,68313
332697,146,332697,Weston McKennie,FC Schalke 04,United States,"Aug 28, 1998","1,85 m",right,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2024,132530
261905,147,261905,Suat Serdar,FC Schalke 04,Germany Turkey,"Apr 11, 1997","1,84 m",right,Midfielder - Central Midfield,"Jul 1, 2018",30.06.2022,54614
346332,148,346332,Nassim Boujellab,FC Schalke 04,Morocco Germany,"Jun 20, 1999","1,81 m",both,Midfielder - Central Midfield,"Apr 6, 2019",30.06.2022,43302
388820,149,388820,Levent Mercan,FC Schalke 04,Germany,"Dec 10, 2000","1,76 m",both,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2023,12722
38410,150,38410,Daniel Caligiuri,FC Schalke 04,Italy Germany,"Jan 15, 1988","1,82 m",right,Midfielder - Right Midfield,"Jan 25, 2017",30.06.2020,110874
118397,151,118397,Alessandro Schöpf,FC Schalke 04,Austria,"Feb 7, 1994","1,78 m",right,Midfielder - Right Midfield,"Jan 7, 2016",30.06.2021,82866
372711,152,372711,Amine Harit,FC Schalke 04,Morocco France,"Jun 18, 1997","1,79 m",right,Midfielder - Attacking Midfield,"Jul 10, 2017",30.06.2024,987977
112930,153,112930,Benito Raman,FC Schalke 04,Belgium,"Nov 7, 1994","1,72 m",right,Forward - Left Winger,"Jul 5, 2019",30.06.2024,48418
404384,154,404384,Rabbi Matondo,FC Schalke 04,Wales England,"Sep 9, 2000","1,75 m",right,Forward - Right Winger,"Jan 30, 2019",30.06.2023,60924
120205,155,120205,Michael Gregoritsch,FC Schalke 04,Austria,"Apr 18, 1994","1,93 m",left,Forward - Second Striker,"Jan 1, 2020",30.06.2020,50592
452084,156,452084,Ahmed Kutucu,FC Schalke 04,Turkey Germany,"Mar 1, 2000","1,81 m",right,Forward - Centre-Forward,"Feb 1, 2019",30.06.2022,no info
49239,157,49239,Guido Burgstaller,FC Schalke 04,Austria,"Apr 29, 1989","1,87 m",right,Forward - Centre-Forward,"Jan 9, 2017",30.06.2022,no info
55089,158,55089,Oliver Baumann,TSG 1899 Hoffenheim,Germany,"Jun 2, 1990","1,87 m",right,Goalkeeper,"Jul 1, 2014",30.06.2021,30605
61989,159,61989,Michael Esser,TSG 1899 Hoffenheim,Germany,"Nov 22, 1987","1,98 m",right,Goalkeeper,"Jan 14, 2020",30.06.2020,no info
8246,160,8246,Philipp Pentke,TSG 1899 Hoffenheim,Germany,"May 1, 1985","1,91 m",right,Goalkeeper,"Jul 1, 2019",30.06.2021,no info
10329,161,10329,Alexander Stolz,TSG 1899 Hoffenheim,Germany,"Oct 13, 1983","1,89 m",right,Goalkeeper,"Aug 21, 2013",30.06.2020,no info
223974,162,223974,Stefan Posch,TSG 1899 Hoffenheim,Austria,"May 14, 1997","1,88 m",right,Defender - Centre-Back,"Jul 1, 2017",30.06.2023,26368
52348,163,52348,Benjamin Hübner,TSG 1899 Hoffenheim,Germany,"Jul 4, 1989","1,93 m",left,Defender - Centre-Back,"Jul 1, 2016",30.06.2022,no info
